"module name","license","repository"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@react-aria/focus@3.20.5","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-aria/interactions@3.25.3","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-aria/ssr@3.9.9","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-aria/utils@3.29.1","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-stately/flags@3.1.2","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-stately/utils@3.10.7","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-types/shared@3.30.0","Apache-2.0","https://github.com/adobe/react-spectrum"
"@rolldown/pluginutils@1.0.0-beta.11","MIT","https://github.com/rolldown/rolldown"
"@rollup/rollup-darwin-arm64@4.43.0","MIT","https://github.com/rollup/rollup"
"@scarf/scarf@1.4.0","Apache-2.0","https://github.com/scarf-sh/scarf-js"
"@segment/analytics-core@1.8.1","MIT","https://github.com/segmentio/analytics-next"
"@segment/analytics-generic-utils@1.2.0","MIT","https://github.com/segmentio/analytics-next"
"@segment/analytics-node@2.2.1","MIT","https://github.com/segmentio/analytics-next"
"@smithy/abort-controller@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/config-resolver@4.1.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/core@3.5.3","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/credential-provider-imds@4.0.6","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/eventstream-codec@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/eventstream-serde-browser@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/eventstream-serde-config-resolver@4.1.2","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/eventstream-serde-node@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/eventstream-serde-universal@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/fetch-http-handler@5.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/hash-node@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/invalid-dependency@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/is-array-buffer@2.2.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/is-array-buffer@4.0.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/middleware-content-length@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/middleware-endpoint@4.1.11","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/middleware-retry@4.1.12","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/middleware-serde@4.0.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/middleware-stack@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/node-config-provider@4.1.3","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
